Beneficio,Compra,Acidez,AcidoCitrico,pH,CloruroSodico,Densidad,Azucar,Sulfatos,Alcohol,Etiqueta,CalifProductor,Clasificacion,Region,PrecioBotella
0.0,0.0,0.39,0.14,4.99,0.073,1.02195,5.9,0.12,6.6,3.0,5.0,1.2,1.0,4.56
0.0,0.0,1.44,-1.54,5.1,0.058,0.99271,7.1,0.39,10.2,3.0,2.0,1.6,1.0,1.0
0.0,0.0,0.5,0.3,5.23,0.276,0.9959,3.5,-0.81,4.4,2.0,4.0,1.6,3.0,1.85
0.0,0.0,-0.1,0.3,5.75,0.048,1.02724,7.2,0.44,10.1,1.0,2.0,1.2,1.0,1.28
0.0,0.0,0.85,0.14,5.74,0.169,0.96464,7.4,-0.99,10.1,2.0,4.0,1.4,1.0,2.1
0.0,0.0,0.34,-1.04,5.12,-0.345,1.02578,6.2,-0.26,9.3,2.0,2.0,1.0,3.0,5.21
0.0,0.0,0.46,-0.74,5.37,0.064,0.99718,1.5,1.91,11.0,2.0,5.0,1.0,2.0,2.95
0.0,0.0,-0.555,0.27,4.96,0.315,1.02799,4.0,0.5275825534169168,10.0,2.0,4.0,1.4,1.0,1.0
0.0,0.0,0.22,-0.56,5.28,0.035,0.97087,9.8,0.61,14.3,2.0,2.0,2.6,3.0,2.69
0.0,0.0,0.4,0.02,5.56,-0.016,0.9955,10.2,0.83,11.6,3.0,2.0,1.2,1.0,1.43
0.0,0.0,0.29,0.38,6.04,999.0,0.98717,9.2,1.6,9.4,3.0,2.0,2.6,1.0,3.29
0.0,0.0,-0.03,0.31,5.61,0.589,0.9965,8.5,0.55,10.8,2.0,2.0,1.4,2.0,6.69
0.0,0.0,0.49,0.0,5.56,0.035,0.9972,6.2,0.5275825534169168,16.0,2.0,3.0,1.6,2.0,4.42
0.0,0.0,1.105,0.0,4.81,0.39,0.9846,7.6,-0.7,7.9,2.0,3.0,1.6,2.0,1.29
0.0,0.0,0.22,0.41,5.25,-0.084,1.01158,9.4,0.5275825534169168,9.7,2.0,2.0,1.0,1.0,4.23
0.0,0.0,0.99,0.43,5.49,0.625,0.9966,8.1,0.57,16.0,2.0,6.0,1.0,2.0,1.83
0.0,0.0,1.31,0.65,6.01,-0.116,0.94955,9.0,1.73,9.3,1.0,3.0,2.0,3.0,2.81
0.0,0.0,0.22,0.33,5.36,0.041,1.0407,10.7,0.56,11.0,4.0,2.0,1.0,1.0,3.28
0.0,0.0,-0.24,0.39,6.07,999.0,0.96824,3.3,0.54,10.54,3.0,2.0,2.0,2.0,1.81
0.0,0.0,0.35,0.3,5.48,0.299,0.96256,10.8,1.34,11.0,1.0,2.0,1.4,1.0,4.03
0.0,0.0,0.16,0.64,5.67,0.05,0.98304,5.7,0.51,7.6,0.0,4.0,1.4,3.0,4.54
0.0,0.0,0.52,-0.04,4.91,-0.01,0.99438,9.2,0.78,10.1,4.0,7.0,1.4,3.0,1.38
0.0,0.0,-0.33,1.59,5.42,0.775,0.97056,3.9,1.95,14.4,3.0,7.0,1.2,2.0,2.72
0.0,0.0,1.04,0.08,5.24,0.018,0.95224,7.3,0.57,11.0,2.0,3.0,1.8,3.0,4.07
0.0,0.0,0.24,0.33,5.63,0.032,0.99626,11.2,-0.14,11.4,2.0,2.0,1.0,1.0,1.48
0.0,0.0,0.27,0.3,5.76,0.087,0.9944,0.1,1.07,10.0,1.0,2.0,1.0,1.0,6.8
0.0,0.0,0.28,0.57,5.79,0.405,0.9918,9.5,0.33,11.7,1.0,2.0,1.0,3.0,3.67
0.0,0.0,0.73,0.37,5.78,0.011,0.96809,5.8,-0.07,9.2,3.0,5.0,1.2,3.0,5.2
0.0,0.0,0.27,0.08,5.67,999.0,0.9922,11.6,0.46,11.459999999999999,3.0,2.0,3.4,1.0,3.44
0.0,0.0,1.53,-0.12,4.87,0.081,0.9854,5.6,0.66,11.2,2.0,4.0,2.0,1.0,1.07
0.0,0.0,0.78,0.1,5.5,0.09,0.98071,5.5,0.49,9.5,1.0,4.0,1.4,3.0,2.28
0.0,0.0,1.045,0.03,6.04,0.3,0.98189,5.2,-0.21,9.6,3.0,5.0,1.4,3.0,5.13
0.0,0.0,0.55,-1.2,5.0,0.226,1.01311,9.5,1.36,9.9,2.0,3.0,2.0,2.0,1.0
0.0,0.0,0.24,-1.34,5.11,0.037,0.9926,9.9,0.09,10.5,1.0,3.0,1.2,3.0,4.78
0.0,0.0,0.59,0.24,5.49,-0.003,0.9962,6.8,0.59,9.5,2.0,3.0,1.0,2.0,1.4
0.0,0.0,0.2,0.53,5.24,-0.07,0.991,3.5,1.92,13.080000000000002,1.0,3.0,1.4,1.0,1.0
0.0,0.0,0.45,-0.44,5.44,1.146,0.9958,5.3,0.5275825534169168,10.8,1.0,2.0,1.0,1.0,1.5
0.0,0.0,0.35,0.41,5.27,0.353,0.99094,4.6,1.22,14.9,3.0,6.0,1.2,1.0,3.11
0.0,0.0,0.56,1.52,5.26,-0.003,0.9603,6.6,0.62,9.3,0.0,4.0,1.4,3.0,1.69
0.0,0.0,0.915,0.03,5.23,0.222,0.995,7.0,0.49,9.6,3.0,2.0,1.8,2.0,1.34
0.0,0.0,0.4,-0.78,5.03,999.0,0.9683,8.9,0.77,10.5,3.0,5.0,2.2,1.0,1.25
