Beneficio,Compra,Acidez,AcidoCitrico,pH,CloruroSodico,Densidad,Azucar,Sulfatos,Alcohol,Etiqueta,CalifProductor,Clasificacion,Region,PrecioBotella
0,0,0.39,0.14,4.99,0.073,1.02195,5.9,0.12,6.6,4,5,0,1,4.56
0,0,1.44,-1.54,5.1,0.058,0.99271,7.1,0.39,10.2,4,2,0,1,1.0
0,0,-0.1,0.3,5.75,0.048,1.02724,7.2,0.44,10.1,2,2,0,1,1.28
0,0,0.46,-0.74,5.37,0.064,0.99718,1.5,1.91,11.0,3,5,0,2,2.95
0,0,0.22,-0.56,5.28,0.035,0.97087,9.8,0.61,14.3,3,2,0,3,2.69
0,0,0.29,0.38,6.04,999.0,0.98717,9.2,1.6,9.4,4,2,0,1,3.29
0,0,-0.03,0.31,5.61,0.589,0.9965,8.5,0.55,10.8,3,2,0,2,6.69
0,0,0.99,0.43,5.49,0.625,0.9966,8.1,0.57,16.0,3,6,1,2,1.83
0,0,1.31,0.65,6.01,-0.116,0.94955,9.0,1.73,9.3,2,3,0,3,2.81
0,0,0.22,0.33,5.36,0.041,1.0407,10.7,0.56,11.0,5,2,1,1,3.28
0,0,0.35,0.3,5.48,0.299,0.96256,10.8,1.34,11.0,2,2,0,1,4.03
0,0,0.16,0.64,5.67,0.05,0.98304,5.7,0.51,7.6,1,4,0,3,4.54
0,0,0.52,-0.04,4.91,-0.01,0.99438,9.2,0.78,10.1,5,7,0,3,1.38
0,0,-0.33,1.59,5.42,0.775,0.97056,3.9,1.95,14.4,4,7,0,2,2.72
0,0,1.04,0.08,5.24,0.018,0.95224,7.3,0.57,11.0,3,3,0,3,4.07
0,0,0.27,0.3,5.76,0.087,0.9944,0.1,1.07,10.0,2,2,1,1,6.8
0,0,0.28,0.57,5.79,0.405,0.9918,9.5,0.33,11.7,2,2,1,3,3.67
0,0,1.53,-0.12,4.87,0.081,0.9854,5.6,0.66,11.2,3,4,2,1,1.07
0,0,0.78,0.1,5.5,0.09,0.98071,5.5,0.49,9.5,2,4,0,3,2.28
0,0,0.55,-1.2,5.0,0.226,1.01311,9.5,1.36,9.9,3,3,0,2,1.0
0,0,0.24,-1.34,5.11,0.037,0.9926,9.9,0.09,10.5,2,3,0,3,4.78
0,0,0.59,0.24,5.49,-0.003,0.9962,6.8,0.59,9.5,3,3,1,2,1.4
0,0,0.35,0.41,5.27,0.353,0.99094,4.6,1.22,14.9,4,6,0,1,3.11
0,0,0.56,1.52,5.26,-0.003,0.9603,6.6,0.62,9.3,1,4,0,3,1.69
0,0,0.915,0.03,5.23,0.222,0.995,7.0,0.49,9.6,4,2,0,2,1.34
0,0,0.4,-0.78,5.03,999.0,0.9683,8.9,0.77,10.5,4,5,0,1,1.25
0,0,0.5,0.73,5.22,0.157,0.92096,5.4,0.91,14.0,4,4,1,2,1.45
0,0,0.14,0.34,5.3,0.145,1.0151,1.6,0.4,10.2,5,4,0,3,1.49
0,0,0.69,-0.74,5.65,0.398,0.99712,2.1,0.67,11.2,3,3,0,1,1.96
0,0,0.47,-0.86,5.5,0.174,0.99514,11.1,0.61,11.2,2,3,0,2,2.75
0,0,1.21,1.78,5.61,0.044,0.97641,8.3,1.22,9.5,3,1,0,3,4.72
0,0,1.43,0.49,4.82,0.041,0.9914,11.6,1.69,17.4,1,3,1,3,1.16
0,0,1.92,-0.02,5.44,-0.363,1.0179,5.0,0.54,12.0,4,2,1,2,1.62
0,0,1.61,-0.56,5.78,0.12,0.96719,6.2,0.34,11.2,2,4,1,3,5.42
0,0,0.6,0.04,5.93,-0.16,1.02302,7.5,1.61,8.4,3,3,0,1,3.42
0,0,0.33,-2.08,6.07,0.04,0.9828,4.6,1.88,11.0,1,3,1,2,2.35
0,0,0.67,0.55,5.55,999.0,0.9968,4.3,0.03,9.4,4,4,0,3,1.93
0,0,0.3,0.01,4.94,0.085,1.03135,6.7,1.28,15.3,3,3,1,2,1.11
0,0,1.66,0.2,5.33,-0.058,1.01949,8.7,1.48,9.2,3,4,0,1,1.85
0,0,0.55,0.13,4.9,-0.301,0.9959,4.8,1.61,5.1,4,3,0,2,2.66
0,0,0.23,0.3,5.73,-0.262,0.9906,0.6,0.4,11.8,5,2,0,3,1.0
0,0,0.41,0.31,5.47,999.0,0.99824,6.9,1.22,10.1,5,3,0,3,4.42
0,0,0.5,1.83,5.79,0.666,0.996,5.2,0.48,9.5,2,3,0,1,1.6
0,0,-0.35,2.34,5.49,0.672,1.00954,4.2,0.74,12.8,3,3,0,2,1.0
0,0,1.4,2.01,5.24,0.546,0.9975,9.3,1.03,9.8,4,5,0,1,2.72
0,0,0.78,-0.54,5.62,0.181,0.9978,1.8,0.46,9.6,2,4,0,3,1.77
0,0,1.15,0.96,5.09,0.064,0.995,7.9,2.32,8.6,3,2,0,1,1.49
0,0,0.66,0.68,5.41,-0.281,0.98202,9.1,1.03,13.4,3,7,0,2,2.11
0,0,0.195,0.46,6.03,0.094,0.99639,11.4,2.07,12.2,2,5,0,1,1.13
0,0,-0.26,1.02,5.21,0.046,0.9958,11.7,1.28,15.1,3,2,1,1,3.67
0,0,0.28,-0.91,5.62,0.067,1.0078,7.9,0.55,13.0,2,5,0,2,2.35
0,0,1.15,0.34,5.9,0.633,0.96858,4.2,3.56,9.6,4,3,1,1,1.28
0,0,0.41,0.55,5.18,-0.425,0.89876,7.1,0.89,9.9,3,6,0,2,1.56
0,0,0.22,2.97,5.68,999.0,1.0286,11.2,0.47,11.4,2,2,1,1,1.29
0,0,1.51,0.63,5.34,0.072,0.9968,9.1,0.78,9.3,3,6,1,2,1.0
0,0,0.29,0.82,5.53,0.419,0.99603,7.1,0.6,10.5,3,4,0,2,1.06
0,0,-0.85,-0.7,5.53,0.085,0.98878,6.2,1.42,6.5,2,1,0,3,3.35
0,0,-0.48,-0.91,4.97,0.286,1.00548,5.6,0.59,12.1,4,5,0,1,1.2
0,0,0.47,0.49,5.29,0.085,0.99515,8.5,0.6,16.7,2,5,1,1,1.87
0,0,0.22,1.22,5.62,0.26,1.03038,6.7,2.1,11.0,2,1,0,2,3.01
0,0,1.27,-0.59,5.36,0.076,1.00266,6.3,1.72,6.9,2,3,0,1,5.32
0,0,-0.83,1.27,5.12,0.272,0.9916,7.4,1.69,9.2,3,2,0,1,1.03
0,0,0.34,0.4,5.37,0.046,0.94404,9.6,0.23,10.4,2,2,0,1,3.92
0,0,0.22,0.31,5.69,0.864,0.99704,4.5,1.73,10.6,3,2,0,3,3.1
0,0,0.25,1.04,5.24,1.012,0.9904,4.5,0.5,6.1,3,1,0,1,1.37
0,0,0.5,2.1,5.68,-0.416,1.0002,9.2,0.44,9.5,4,8,2,1,1.73
0,0,-0.36,0.61,6.0,0.428,0.95134,5.9,0.6,10.4,4,3,2,2,4.08
0,0,0.34,0.0,4.95,0.372,0.9916,1.6,1.64,14.0,2,1,0,3,1.63
0,0,-0.5,0.58,5.41,0.287,1.00143,5.9,2.02,7.5,4,3,0,2,5.76
0,0,0.97,0.0,5.14,0.08,0.97108,7.6,1.14,8.5,2,4,0,1,3.36
0,0,0.42,0.27,5.67,-0.252,0.97267,4.0,0.52,9.2,2,4,0,1,1.91
0,0,-0.53,0.45,5.59,0.028,0.9922,10.6,1.25,17.3,2,1,0,1,3.18
0,0,-0.035,0.07,5.64,-0.042,0.99864,8.5,0.35,10.3,2,3,0,1,5.35
0,0,0.14,-0.34,6.03,0.041,1.00944,8.9,0.27,9.2,2,3,0,3,1.07
0,0,0.22,-0.56,5.09,0.041,1.00359,9.5,2.26,10.5,4,2,0,2,1.22
0,0,0.27,0.49,5.19,0.082,1.01533,11.3,0.52,12.5,3,6,0,1,2.79
0,0,0.21,0.37,5.39,0.04,0.99862,8.8,0.28,9.1,3,1,0,1,6.67
0,0,0.24,0.49,5.81,0.45,0.9977,7.4,2.51,11.0,4,6,2,1,1.0
0,0,0.91,0.44,5.69,-0.397,0.98335,6.2,0.61,10.7,3,4,0,2,2.77
0,0,3.06,0.02,5.23,-0.444,0.9196,7.7,0.66,12.6,3,2,0,2,5.97
0,0,1.81,0.62,5.63,-0.306,1.0002,2.2,1.9,9.7,3,4,0,1,4.5
0,0,0.11,-0.71,6.09,-0.28,0.94913,6.3,0.62,10.2,3,3,0,3,1.98
0,0,1.6,0.47,5.26,0.273,0.9963,3.1,0.59,9.4,3,3,0,2,3.72
0,0,0.4,0.57,5.45,-0.042,0.96945,2.9,0.57,12.5,3,5,1,3,3.29
0,0,1.12,0.49,5.09,0.253,1.00542,7.0,0.53,9.7,3,2,0,2,1.0
0,0,0.33,0.49,5.25,0.271,0.9953,5.3,0.47,9.3,3,2,0,1,1.0
0,0,0.23,0.71,5.49,0.077,1.04174,6.7,0.96,12.1,3,4,0,1,4.3
0,0,-0.23,-0.15,5.17,0.092,0.99302,8.6,3.76,15.8,3,4,1,2,2.47
0,0,-0.26,0.17,5.75,-0.008,0.9972,8.0,0.61,9.2,3,4,1,3,1.41
0,0,0.4,0.49,5.61,0.052,0.9924,3.6,1.25,9.8,4,2,1,1,4.6
0,0,2.65,0.29,5.23,0.038,0.99479,3.6,1.16,7.1,3,2,0,2,6.2
